Course Name,Course Title,Credits,Description,Prerequisite,Concurrent,Attributes
MATH 3,Basic Skills,3 Credits,"Natural numbers; integers; rational numbers; decimals; ratio, proportion; percent; graphs; applications.  Students who have passed MATH 001 may not schedule this course for credit.  This course may not be used to satisfy the basic minimum requirements for graduation in any baccalaureate degree program.",Satisfactory performance on the mathematics placement examination.,,
MATH 4,Intermediate Algebra,3 Credits,"Algebraic expressions; linear, absolute value equations and inequalities; lines; systems of linear equations; integral exponents; polynomials; factoring. This course may not be used to satisfy the basic minimum requirements for graduation in any baccalaureate degree program.",MATH 3or satisfactory performance on the mathematics placement examination.,,
MATH 10,Preparation Skills for Success in Mathematics,1 Credits/Maximum of 4,A foundation course that emphasizes study skills and reviews basic mathematical principles.,math 003-201,,
MATH 21,College Algebra with Analytic Geometry with Applications I,3 Credits,This course satisfies the General Education Qualification. Topics covered include visualizing and graphing data; evaluating the average rate of change; solving linear equations and inequalities; solving linear absolute value equations and inequalities; modeling with linear functions and discussion of interpolation; solving quadratic equations using different solution methods; solving quadratic inequalities; modeling with quadratic functions.,MATH 4or satisfactory performance on the mathematics placement examination.,,Quantification (GQ)
MATH 22,College Algebra With Analytic Geometry and Applications II,3 Credits,This course covers topics that include functions and their representations; distinguishing between types of functions; evaluating the average rate of change; factoring polynomials of general degree; solving polynomial inequalities; solving rational equations and inequalities; solving radical equations; modeling with polynomial and rational functions; finding and interpreting the meaning of inverse functions; solving exponential and logarithmic equations; modeling with exponential and logarithmic functions.,MATH 21or satisfactory performance on the mathematics placement examination.,,Quantification (GQ)
MATH 26,Plane Trigonometry and Applications of Trigonometry,3 Credits,This course satisfies the General Education Qualification. Topics covered include angles and their measures; right triangle trigonometry; all six trigonometric functions and their representations; angle addition/subtraction and double angle identities; modeling with sine and cosine; applications of trigonometric functions; simple harmonic motions and other applications of trigonometric functions; inverse trigonometric functions; solving trigonometric equations; verifying identities; law of sines and law of cosines; vectors; polar equations; trigonometric form of complex numbers; other related topics as time permits.,MATH 21or satisfactory performance on the mathematics placement examination.,,Quantification (GQ)
MATH 30,Problem Solving,3 Credits,Concepts in problem solving; reducing new problems to old ones; techniques for attacking problems; building mathematical models.,Bachelor of Arts: Quantification,,
MATH 31,Mathematics of Music,3 Credits,"This course is intended to explore the connections between mathematics and music. Topics include elementary combinatorics, trigonometry, group theory, probability and game theory, and how these mathematical principles can help us understand rhythm, melody, harmony, pitch, and composition. This is an applied mathematics course using music as the context, and is intended for any student who is interested in learning about how these two fields interact. No prior knowledge of mathematics or music is required; however, some knowledge of algebra and trigonometry, and basic understanding of musical notation, may be beneficial.",General Education: Quantification (GQ),,Quantification (GQ)
MATH 32,Math for Allied Health Professions,3 Credits,"This course is intended to build the specific quantitative reasoning skills needed by workers in Allied Health Professions, such as nurses or therapists. Students will become fluent in proportional reasoning in a variety of contexts, including unit conversion, drug dosage calculations, probability, and logarithmic scales. Students gain the tools to communicate and reason about covariation in scenarios such as exponential growth and decay. Student will also apply tools of probability and descriptive statistics to gain literacy in risk and uncertainty in health settings, such as making sense of effect sizes in research literature.",MATH 4or satisfactory performance on the math placement exam,,Quantification (GQ)
MATH 33,Mathematics for Sustainability,3 Credits,"Mathematical analysis of sustainability: measurement, flows, networks, rates of change, uncertainty and risk, applying analysis in decision making; using quantitative evidence to support arguments; examples. MATH 033 Mathematics for Sustainability (3) (GQ) This course is one of several offered by the mathematics department with the goal of helping students from non-technical majors partially satisfy their general education quantification requirement. It is designed to provide an introduction to various mathematical modeling techniques, with an emphasis on examples related to environmental and economic sustainability. The course may be used to fulfill three credits of the GQ requirement for some majors, but it does not serve as a prerequisite for any mathematics courses and should be treated as a terminal course. The course provides students with the mathematical background and quantitative reasoning skills necessary to engage as informed citizens in discussions of sustainability related to climate change, resources, pollution, recycling, economic change, and similar matters of public interest. Students apply these skills through writing projects that require quantitative evidence to support an argument. The mathematical content of the course spans six key areas: ""measuring"" (representing information by numbers, problems of measurement, units, estimation skills); ""flowing"" (building and analyzing stock-flow models, calculations using units of energy and power, dynamic equilibria in stock-flow systems, the energy balance of the earth-sun system and the greenhouse effect); ""connecting"" (networks, the bystander effect, feedbacks in stock-flow models); ""changing"" (out-of-equilibrium stock-flow systems, exponential models, stability of equilibria in stock-flow systems, sensitivity of equilibria to changes in a parameter, tipping points in stock-flow models); ""risking"" (probability, expectation, bayesian inference, risk vs uncertainty; ""deciding"" (discounting, uses and limitations of cost-benefit analysis, introduction to game theory and the tragedy of the commons, market-based mechanisms for pollution abatement, ethical considerations).",RECOMMENDED PREPARATIONS:ENGL 15,,Quantification (GQ)
